genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
Rab10,1.6984814396549826e-8,0.22600862943608424,0.897,0.868,2.6951503484445264e-4,IL6,p129,1,unique
Bag5,1.7418172090282455e-8,0.41732463753429494,0.497,0.418,2.76391554728602e-4,IL6,p129,1,unique
Ypel2,1.7546427346324036e-8,-1.7809899273653729,0.023,0.07,2.784267091314698e-4,IL6,p129,1,unique
Sp140,1.9295429187068884e-8,-0.7514089691281511,0.145,0.234,3.06179870340409e-4,IL6,p129,3,moderate (1-5)
Rdm1,1.9322394478382807e-8,-0.8360433766798119,0.146,0.22,3.066077555829784e-4,IL6,p129,1,unique
Rexo4,1.9337037908647383e-8,0.3721587033987888,0.588,0.508,3.068401175344166e-4,IL6,p129,1,unique
Nppc,2.0112142111868463e-8,-1.4641040366699234,0.042,0.1,3.1913947103112873e-4,IL6,p129,1,unique
Rrp8,2.032587154154445e-8,0.37690130552016854,0.594,0.512,3.2253092962122734e-4,IL6,p129,1,unique
Tbl1x,2.216365860728487e-8,-0.26758997033731974,0.734,0.796,3.516929347803963e-4,IL6,p129,1,unique
Btg2,2.3096128039367423e-8,0.4768953779353069,0.451,0.369,3.6648935972868223e-4,IL6,p129,2,moderate (1-5)
Lockd,2.34764674625568e-8,-0.6039614795364947,0.27,0.367,3.725245856958513e-4,IL6,p129,2,moderate (1-5)
Hspa9,2.3658589068468027e-8,0.15143912599336273,0.987,0.975,3.7541449133845063e-4,IL6,p129,4,moderate (1-5)
Tnfaip3,2.3880565045443785e-8,-0.6289660672561534,0.206,0.304,3.789368061411019e-4,IL6,p129,2,moderate (1-5)
Gstm1,2.5068750660306722e-8,1.0895442645923072,0.098,0.046,3.9779093547774705e-4,IL6,p129,1,unique
Mpc1,2.5870967762475e-8,-0.25227456322798325,0.796,0.834,4.105205164549533e-4,IL6,p129,1,unique
Set,2.6738410981729843e-8,0.10833866750100628,1,0.999,4.242851054580891e-4,IL6,p129,5,moderate (1-5)
Egr1,2.7312095027249765e-8,0.5186892682182418,0.33,0.236,4.333883238923993e-4,IL6,p129,17,very high (10+)
Igf2r,2.732796453510497e-8,-0.568903282841047,0.293,0.386,4.336401412430457e-4,IL6,p129,1,unique
Zc3h12a,2.8060695367610378e-8,-0.5697360899023234,0.267,0.363,4.452671140932415e-4,IL6,p129,1,unique
