genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
Il4ra,5.488188844407285e-19,0.8824707993940617,0.368,0.245,8.708658058305481e-15,IL6,p129,1,unique
Arf2,7.065269823206231e-19,1.1801205683177067,0.231,0.12,1.1211170155463649e-14,IL6,p129,1,unique
Zfas1,7.716940781707115e-19,0.3820393633098584,0.979,0.968,1.2245241632412851e-14,IL6,p129,4,moderate (1-5)
p139-T7oBC5p-MS2,8.359235337213343e-19,-1.984755288422992,0.227,0.353,1.3264434633090132e-14,IL6,p129,11,very high (10+)
Septin7,9.21217056675646e-19,-0.21197488372408513,0.992,0.995,1.461787225532915e-14,IL6,p129,3,moderate (1-5)
Alpk2,9.540117940877195e-19,2.461086226147236,0.076,0.017,1.513825914858393e-14,IL6,p129,1,unique
Brd2,1.0439301338926767e-18,0.3732394583421166,0.866,0.817,1.6565083364608996e-14,IL6,p129,1,unique
Pdzk1ip1,1.0448369060176795e-18,1.4424902382093985,0.191,0.112,1.6579472024688542e-14,IL6,p129,1,unique
Ankrd44,1.1147366274857022e-18,-0.5769982012570667,0.561,0.696,1.7688640804943122e-14,IL6,p129,4,moderate (1-5)
Oxsr1,1.2921828954553752e-18,0.5197685189225925,0.623,0.52,2.0504358185085892e-14,IL6,p129,1,unique
Lrch1,1.3065056881649323e-18,-0.5830941285276121,0.459,0.611,2.0731632259801144e-14,IL6,p129,1,unique
Nrn1,1.3830994136210251e-18,-1.1490046257414246,0.201,0.343,2.1947021495338422e-14,IL6,p129,3,moderate (1-5)
Bcl11b,1.6043726376967987e-18,0.5035985334446977,0.706,0.606,2.54581850149728e-14,IL6,p129,4,moderate (1-5)
Timm13,1.6629775679618855e-18,0.24813485794195755,0.976,0.965,2.6388128048419198e-14,IL6,p129,3,moderate (1-5)
Mat2a,2.3928341421059547e-18,0.31278821275875623,0.931,0.891,3.796949216693729e-14,IL6,p129,1,unique
Ccni,2.4275183797507157e-18,-0.5100263107405955,0.58,0.714,3.8519861649884366e-14,IL6,p129,4,moderate (1-5)
Fasl,2.519622450557553e-18,-1.4571810114523895,0.064,0.177,3.998136904544725e-14,IL6,p129,1,unique
Atf6,3.1202436472124267e-18,0.6743474659549292,0.496,0.368,4.951202619396679e-14,IL6,p129,2,moderate (1-5)
Hspd1,3.1398168556841865e-18,0.1948872328021909,1,0.996,4.9822613865996677e-14,IL6,p129,14,very high (10+)
Fnip1,3.5275750482032596e-18,-0.6631819198476548,0.412,0.559,5.5975560864889334e-14,IL6,p129,1,unique
Rsl1d1,3.747931294043031e-18,0.22982621598797648,0.992,0.976,5.947217377387482e-14,IL6,p129,2,moderate (1-5)
Evi2b,4.3330622761747384e-18,-1.1968650901751334,0.132,0.262,6.875703219834075e-14,IL6,p129,1,unique
Dusp6,4.449758847772875e-18,-0.987388922163266,0.177,0.323,7.060877339645997e-14,IL6,p129,12,very high (10+)
Clic4,4.531779857077771e-18,0.6714304318811439,0.514,0.377,7.191028277211007e-14,IL6,p129,6,high (5-10)
Lamp2,5.096045633746128e-18,0.7937359696288742,0.398,0.261,8.086405211628356e-14,IL6,p129,1,unique
Ndufaf4,5.6935653316679175e-18,0.4325147138848966,0.788,0.683,9.034549468290653e-14,IL6,p129,1,unique
Adprm,6.452374996456836e-18,0.8649506974307324,0.331,0.211,1.0238628644377709e-13,IL6,p129,2,moderate (1-5)
Smim36,9.726924544004239e-18,-0.7439340480293208,0.365,0.506,1.543468386642593e-13,IL6,p129,6,high (5-10)
Kif11,1.1978410749514319e-17,-0.4315210605579124,0.711,0.808,1.900734217732932e-13,IL6,p129,4,moderate (1-5)
Gimap8,1.4511171876025728e-17,0.9123367345895272,0.304,0.175,2.302632753287763e-13,IL6,p129,3,moderate (1-5)
Hmgcs1,1.7210351644166494e-17,-0.7326599394900704,0.406,0.546,2.73093859889634e-13,IL6,p129,1,unique
Cd4,1.786190823124763e-17,-0.3522848133770876,0.813,0.887,2.834327598134374e-13,IL6,p129,2,moderate (1-5)
Cdca3,1.8448732938861558e-17,-0.5542359015425059,0.526,0.651,2.927444942738553e-13,IL6,p129,4,moderate (1-5)
Spata5,2.194169855318744e-17,0.4452086377417961,0.778,0.678,3.481708726419783e-13,IL6,p129,1,unique
Aspm,2.2973961129611345e-17,-0.7903804933599515,0.297,0.441,3.645508152046729e-13,IL6,p129,2,moderate (1-5)
Chm,2.6199835382782337e-17,0.67367123453299,0.459,0.335,4.157389878539902e-13,IL6,p129,1,unique
Cd83,2.7303458658845814e-17,-1.2861295527632746,0.126,0.247,4.332512819985654e-13,IL6,p129,3,moderate (1-5)
Ier5,2.791544339502233e-17,0.4778187234056256,0.734,0.65,4.4296225579221435e-13,IL6,p129,1,unique
Ccr6,3.459919864566354e-17,-1.428310384377939,0.064,0.17,5.490200841093892e-13,IL6,p129,2,moderate (1-5)
Prkca,4.3572148075558747e-17,-0.27523503796297266,0.964,0.979,6.914028456629663e-13,IL6,p129,5,moderate (1-5)
Rilpl2,4.704882464318845e-17,-0.3162505107933835,0.84,0.9,7.465707494381143e-13,IL6,p129,4,moderate (1-5)
Qser1,5.366316809745467e-17,-1.0057322113670124,0.18,0.316,8.515271513704108e-13,IL6,p129,3,moderate (1-5)
Nr4a1,5.821980861901631e-17,-0.7322376223268245,0.403,0.547,9.238319231665508e-13,IL6,p129,5,moderate (1-5)
Gngt2,5.831378865028505e-17,1.1287792104823229,0.224,0.116,9.253231983027229e-13,IL6,p129,1,unique
Fam169b,6.713638384187937e-17,-0.7405288511380097,0.301,0.454,1.065320138802942e-12,IL6,p129,2,moderate (1-5)
Bhlhe40,6.943311919536373e-17,0.4744692264890087,0.767,0.669,1.1017647353920316e-12,IL6,p129,8,high (5-10)
Chchd4,7.344044685463483e-17,0.41465880095956553,0.782,0.682,1.1653530106893457e-12,IL6,p129,2,moderate (1-5)
Noc4l,7.528153656429976e-17,0.3737278870281748,0.803,0.721,1.1945674222023085e-12,IL6,p129,3,moderate (1-5)
Gsr,8.468274497907939e-17,0.5301524081725328,0.595,0.474,1.3437457973280317e-12,IL6,p129,2,moderate (1-5)
Trat1,9.35764975471838e-17,-1.1954798539926388,0.133,0.259,1.4848718630787126e-12,IL6,p129,6,high (5-10)
mt-Co1,9.382566243317178e-17,-0.13876722776174688,1,1,1.4888256114895697e-12,IL6,p129,1,unique
Actg1,9.882449904696115e-17,0.1826158073807438,1,1,1.5681471508771797e-12,IL6,p129,3,moderate (1-5)
Smarca2,1.0558397512883683e-16,-0.7735511870070775,0.305,0.447,1.6754065173443829e-12,IL6,p129,1,unique
Ncoa3,1.1024425015287871e-16,0.5740584802981666,0.526,0.432,1.7493557614258794e-12,IL6,p129,2,moderate (1-5)
Mrpl9,1.1051530929625027e-16,0.369477128662151,0.849,0.764,1.7536569279128992e-12,IL6,p129,1,unique
Swap70,1.1733337105836928e-16,-0.9915224777321936,0.175,0.314,1.8618459319542042e-12,IL6,p129,4,moderate (1-5)
Capg,1.2796995153605782e-16,-0.5159777331437412,0.534,0.671,2.0306271909741656e-12,IL6,p129,6,high (5-10)
Midn,1.307063388497006e-16,0.736159246917359,0.4,0.265,2.074048184867049e-12,IL6,p129,1,unique
Hmmr,1.3607666393656523e-16,-0.5905712866839369,0.489,0.605,2.159264503345417e-12,IL6,p129,6,high (5-10)
Rgcc,1.5139243303018206e-16,0.48926808804308297,0.729,0.654,2.4022951273229295e-12,IL6,p129,4,moderate (1-5)
Rpl10a,1.5872303561757792e-16,-0.12788743060626473,1,1,2.5186171291797267e-12,IL6,p129,2,moderate (1-5)
Cenpf,1.6181459777539903e-16,-0.5517663421517898,0.565,0.661,2.567674037500032e-12,IL6,p129,3,moderate (1-5)
Rps15a,1.773926886696709e-16,-0.13017927023282283,1,1,2.814867183810338e-12,IL6,p129,3,moderate (1-5)
Tab2,1.889596804842303e-16,0.5433179794544429,0.624,0.502,2.998412209923767e-12,IL6,p129,2,moderate (1-5)
Ddr1,2.1129816578499222e-16,1.426304766329319,0.132,0.049,3.352879294676257e-12,IL6,p129,1,unique
Rnf126,2.2429612252485886e-16,0.3973624236345289,0.768,0.692,3.5591308722244598e-12,IL6,p129,2,moderate (1-5)
Ms4a6c,2.5049457680059224e-16,-1.4691511541405484,0.088,0.187,3.9748479446717975e-12,IL6,p129,1,unique
mt-Nd1,2.959378897860523e-16,-0.15318507845368146,1,1,4.695942435125078e-12,IL6,p129,1,unique
Slc7a5,3.15955089819528e-16,0.5080067009562441,0.703,0.589,5.0135753652562695e-12,IL6,p129,1,unique
Dnajc21,3.289760738564353e-16,0.36899135496905777,0.828,0.744,5.220192339953917e-12,IL6,p129,1,unique
Ywhah,3.426591182543848e-16,0.27555263347256287,0.92,0.906,5.437314888460578e-12,IL6,p129,2,moderate (1-5)
Gm3739,3.4995445732484984e-16,2.4498500053313386,0.063,0.012,5.553077328830717e-12,IL6,p129,1,unique
Hras,4.446375846923055e-16,0.4205469526275849,0.741,0.652,7.0555091938975025e-12,IL6,p129,1,unique
Setbp1,5.382844283044943e-16,2.137694672693216,0.077,0.019,8.541497308335716e-12,IL6,p129,1,unique
Knl1,6.696392417454162e-16,-0.44830930784359946,0.599,0.72,1.0625835488016264e-11,IL6,p129,3,moderate (1-5)
Rabgap1l,7.163408731537986e-16,0.2853090984379063,0.915,0.905,1.1366896975204477e-11,IL6,p129,4,moderate (1-5)
Itm2b,7.284612712833602e-16,-0.3845011560401653,0.788,0.856,1.1559223452724359e-11,IL6,p129,2,moderate (1-5)
Ccnb2,8.028759631598029e-16,-0.7188006601290542,0.318,0.453,1.2740035783419757e-11,IL6,p129,4,moderate (1-5)
Sema4c,8.242486035921945e-16,-1.4860031326712608,0.054,0.15,1.3079176841800939e-11,IL6,p129,1,unique
Ago2,8.448886871025631e-16,0.38667447921108394,0.788,0.717,1.3406693686943472e-11,IL6,p129,1,unique
Thap2,8.538381553801677e-16,-0.9905212719245304,0.166,0.295,1.35487038495725e-11,IL6,p129,1,unique
Strap,8.93690492061084e-16,0.30538997038961213,0.921,0.87,1.418108072802528e-11,IL6,p129,1,unique
Pfkp,9.329650029109622e-16,0.48632048713498144,0.651,0.556,1.4804288666191148e-11,IL6,p129,4,moderate (1-5)
Zfp395,1.0878308096188601e-15,-1.1477441571977691,0.117,0.239,1.726169928703207e-11,IL6,p129,1,unique
